arXiv ID,submitted_at,title,presence_of vendor_author,thema1,thema2,vendor_of_the_used_machine,max_qubit_count
1712.08581v1,2017-12-22,Measuring the Renyi entropy of a two-site Fermi-Hubbard model on a   trapped ion quantum computer,TRUE,(F2) Applications: condensed matter physics,,IonQ,5
1712.10057v2,2017-12-28,Arrow of time and its reversal on IBM quantum computer,FALSE,(F8) Applications: simulating quantum mechanics,,IBM,3
1801.00778v2,2017-12-30,Solving Linear Systems of Equations by Using the Concept of Grover's   Search Algorithm: An IBM Quantum Experience,FALSE,"(F6) Applications: linear algebra (HHL, variational linear system solver)",,IBM,2
1801.02363v3,2018-01-08,Efficient and Effective Quantum Compiling for Entanglement-based Machine   Learning on IBM Q Devices,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,15
1801.03782v3,2018-01-11,16-qubit IBM universal quantum computer can be fully entangled,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,15
1802.08116v1,2018-02-22,Demonstration of Bayesian quantum game on an ion trap quantum computer,TRUE,(F13) Applications: others,,IonQ,5
1803.01022v1,2018-03-02,Programming Quantum Computers Using Design Automation,FALSE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,IBM,4
1803.03326v3,2018-03-08,Quantum-Classical Computation of Schwinger Model Dynamics using Quantum   Computers,FALSE,(F8) Applications: simulating quantum mechanics,,IBM,2
1803.04114v2,2018-03-12,Learning the quantum algorithm for state overlap,FALSE,(F1) Applications: quantum machine learning,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",IBM,3
1803.06311v1,2018-03-16,Experimental Demonstration of Non-Destructive Discrimination of   Arbitrary Set of Orthogonal Quantum States Using 5-qubit IBM Quantum Computer   on Cloud,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,4
1803.06530v1,2018-03-17,Designing Quantum Router in IBM Quantum Computer,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,3
1804.03680v2,2018-04-10,Hierarchical quantum classifiers,TRUE,(F1) Applications: quantum machine learning,,IBM,4
1804.03719v3,2018-04-10,Quantum Algorithm Implementations for Beginners,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",(F13) Applications: others,IBM,5
1804.09725v1,2018-04-25,Measurement of the entanglement spectrum of a symmetry-protected   topological state using the IBM quantum computer,FALSE,(F2) Applications: condensed matter physics,,IBM,8
1804.11326v2,2018-04-30,Supervised learning with quantum enhanced feature spaces,TRUE,(F1) Applications: quantum machine learning,,IBM,5
1805.04492v1,2018-05-11,Extending the computational reach of a noisy superconducting quantum   processor,TRUE,(E) Quantum noise mitigation,,IBM,4
1805.05227v2,2018-05-14,Testing quantum fault tolerance on small systems,FALSE,(D) Quantum error correction,,IBM,5
1805.06275v1,2018-05-16,Experimental quantum mechanics in the class room: Testing basic ideas of   quantum mechanics and quantum computing using IBM quantum computer,FALSE,(F8) Applications: simulating quantum mechanics,,IBM,2
1805.07185v2,2018-05-18,Complete characterization of the directly implementable quantum gates   used in the IBM quantum processors,FALSE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",,IBM,2
1805.10478v2,2018-05-26,Exact search algorithm to factorize large biprimes and a triprime on IBM   quantum computer,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",,IBM,4
1806.00461v1,2018-06-01,Constrained variational quantum eigensolver: Quantum computer search   engine in the Fock space,FALSE,(F2) Applications: condensed matter physics,,Rigetti,4
1806.02736v1,2018-06-07,Benchmarking of quantum processors with random circuits,FALSE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,IBM,19
1806.02807v2,2018-06-07,Verified Quantum Information Scrambling,TRUE,(F9) Applications: high energy physics,,IonQ,7
1806.06649v3,2018-06-18,Simulation of Nonequilibrium Dynamics on a Quantum Computer,FALSE,(F8) Applications: simulating quantum mechanics,,Rigetti,1
1806.06893v1,2018-06-18,Quantum Risk Analysis,TRUE,(F4) Applications: finance,,IBM,5
1806.08321v2,2018-06-21,Quantum Kitchen Sinks: An algorithm for machine learning on near-term   quantum computers,TRUE,(F1) Applications: quantum machine learning,,Rigetti,2
1806.10229v3,2018-06-26,A simulational model for witnessing quantum effects of gravity using IBM   quantum computer,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,4
1807.00323v1,2018-07-01,Spin-Boson Model to Demonstrate Quantum Tunneling in Biomolecules using   IBM Quantum Computer,FALSE,(F11) Applications: open quantum systems,,IBM,2
1807.00429v1,2018-07-02,Distinguishing Unitary Gates on the IBM Quantum Processor,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,2
1807.00800v5,2018-07-02,Quantum-assisted quantum compiling,FALSE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,IBM,1
1807.03219v2,2018-07-09,Implementation of quantum secret sharing and quantum binary voting   protocol in the IBM quantum computer,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation","(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",IBM,4
1807.05572v1,2018-07-15,"Efficient quantum algorithms for $GHZ$ and $W$ states, and   implementation on the IBM quantum computer",FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",(D) Quantum error correction,IBM,16
1807.07112v3,2018-07-18,Exact Ising model simulation on a quantum computer,FALSE,(F8) Applications: simulating quantum mechanics,,IBM,4
1807.08449v3,2018-07-23,Simulating all quantum measurements using only projective measurements   and postselection,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,2
1807.08768v2,2018-07-23,Demonstration of fidelity improvement using dynamical decoupling with   superconducting qubits,FALSE,(E) Quantum noise mitigation,(D) Quantum error correction,IBM,2
1807.10149v1,2018-07-25,Algorithmic simulation of far-from-equilibrium dynamics using quantum   computer,FALSE,(F8) Applications: simulating quantum mechanics,,IBM,16
1807.10643v2,2018-07-27,Experimental Implementation of a Quantum Autoencoder via Quantum Adders,FALSE,(F1) Applications: quantum machine learning,,Rigetti,3
1807.10651v1,2018-07-27,Hybrid quantum linear equation algorithm and its experimental test on   IBM Quantum Experience,FALSE,"(F6) Applications: linear algebra (HHL, variational linear system solver)",,IBM,4
1808.05203v1,2018-08-15,Measurement of GHZ and cluster state entanglement monotones in transmon   qubits,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,4
1808.06784v3,2018-08-21,Zeta-regularized vacuum expectation values,FALSE,(F13) Applications: others,,Rigetti,1
1808.07375v2,2018-08-22,Experimental Cryptographic Verification for Near-Term Quantum Cloud   Computing,FALSE,(F13) Applications: others,,IBM,5
1808.10533v4,2018-08-30,Preparing tunable Bell-diagonal states on a quantum computer,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,4
1810.00874v1,2018-10-01,Experimental demonstration of the violations of Mermin's and   Svetlichny's inequalities for W- and GHZ-class of states,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,3
1810.03390v1,2018-10-08,Constant Time Quantum search Algorithm Over A Datasets: An Experimental   Study Using IBM Q Experience,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",,IBM,4
1810.07100v2,2018-10-16,Spin Foam Vertex Amplitudes on Quantum Computer -- Preliminary Results,FALSE,(F9) Applications: high energy physics,,IBM,4
1810.10506v2,2018-10-24,Variational Quantum State Diagonalization,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",,Rigetti,2
1810.10523v3,2018-10-24,Efficient characterization of correlated SPAM errors,FALSE,(E) Quantum noise mitigation,,IBM,5
1810.10576v1,2018-10-24,A framework for algorithm deployment on cloud-based quantum computers,FALSE,(F1) Applications: quantum machine learning,,Rigetti,3
1810.11948v1,2018-10-29,Parallel Entangling Operations on a Universal Ion Trap Quantum Computer,TRUE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",,IonQ,4
1810.12484v4,2018-10-30,Network Community Detection On Small Quantum Computers,FALSE,(F1) Applications: quantum machine learning,,IBM,16
1811.07594v2,2018-11-19,Measurement-based adaptation protocol with quantum reinforcement   learning in a Rigetti quantum computer,FALSE,(F1) Applications: quantum machine learning,,Rigetti,3
1811.12926v2,2018-11-30,Validating quantum computers using randomized model circuits,TRUE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,IBM,20
1812.00587v1,2018-12-03,Quantum communication protocols as a benchmark for quantum computers,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,14
1812.06425v1,2018-12-16,Further Investigation on Classical Multiparty computation using Quantum   Resources,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,5
1812.08862v2,2018-12-20,Training of Quantum Circuits on a Hybrid Quantum Computer,TRUE,(F1) Applications: quantum machine learning,,IonQ,4
1812.11602v1,2018-12-30,Circuit optimization for IBM processors: A way to get higher fidelity   and higher values of nonclassicality witnesses,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,3
1901.07653v3,2019-01-23,Determining eigenstates and thermal states on a quantum computer using   quantum imaginary time evolution,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",(F8) Applications: simulating quantum mechanics,Rigetti,2
1901.08047v1,2019-01-23,Robust Implementation of Generative Modeling with Parametrized Quantum   Circuits,TRUE,(F1) Applications: quantum machine learning,,Rigetti,4
1901.10704v1,2019-01-30,Likelihood Theory in a Quantum World: tests with Quantum coins and   computers,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,4
1901.11054v1,2019-01-30,Noise-Adaptive Compiler Mappings for Noisy Intermediate-Scale Quantum   Computers,TRUE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,IBM,8
1902.01692v1,2019-02-02,Demonstration of teleportation-based error correction in the IBM quantum   computer,FALSE,(D) Quantum error correction,,IBM,14
1902.07959v2,2019-02-21,Parallel quantum trajectories via forking for sampling without   redundancy,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",,IBM,3
1902.07980v1,2019-02-21,Non-Markovian memory in IBMQX4,FALSE,(F11) Applications: open quantum systems,,IBM,5
1902.10171v2,2019-02-26,Ground-state energy estimation of the water molecule on a trapped ion   quantum computer,TRUE,(F3) Applications: quantum chemistry,,IonQ,4
1903.03276v1,2019-03-08,Formal Constraint-based Compilation for Noisy Intermediate-Scale Quantum   Systems,TRUE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,IBM,8
1903.03454v3,2019-03-07,Quantum simulation of negative hydrogen ion using variational quantum   eigensolver on IBM quantum computer,FALSE,(F3) Applications: quantum chemistry,,IBM,2
1903.07605v1,2019-03-18,Experimental Challenges of Implementing Quantum Phase Estimation   Algorithms on IBM Quantum Computer,TRUE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",,IBM,5
1903.08181v1,2019-03-19,Benchmarking an 11-qubit quantum computer,TRUE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,IonQ,11
1903.08567v1,2019-03-20,High-fidelity quantum tomography with imperfect measurements,FALSE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",,IBM,2
1903.10949v2,2019-03-26,Hybrid classical-quantum linear solver using Noisy Intermediate-Scale   Quantum machines,FALSE,"(F6) Applications: linear algebra (HHL, variational linear system solver)",,IBM,11
1903.10963v1,2019-03-26,Extracting Success from IBM's 20-Qubit Machines Using Error-Aware   Compilation,FALSE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,IBM,9
1903.11747v2,2019-03-28,Entanglement in a 20-Qubit Superconducting Quantum Computer,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation","(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",IBM,20
1904.00043v2,2019-03-29,Quantum Generative Adversarial Networks for Learning and Loading Random   Distributions,TRUE,(F1) Applications: quantum machine learning,(F4) Applications: finance,IBM,3
1904.00177v2,2019-03-30,Spectral Quantum Tomography,TRUE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",,IBM,2
1904.00910v3,2019-04-01,A quantum algorithm for evolving open quantum dynamics on quantum   computing devices,FALSE,(F11) Applications: open quantum systems,,IBM,2
1904.02214v4,2019-04-03,The Born Supremacy: Quantum Advantage and Training of an Ising Born   Machine,FALSE,(F1) Applications: quantum machine learning,,Rigetti,4
1904.02467v2,2019-04-04,Neural network agent playing spin Hamiltonian games on a quantum   computer,FALSE,(F1) Applications: quantum machine learning,(F2) Applications: condensed matter physics,IBM,2
1904.04338v2,2019-04-08,Toward convergence of effective field theory simulations on digital   quantum computers,TRUE,(F9) Applications: high energy physics,(E) Quantum noise mitigation,IonQ,4
1904.08566v1,2019-04-18,Subspace Variational Quantum Simulator,FALSE,(F8) Applications: simulating quantum mechanics,(F3) Applications: quantum chemistry,0,2
1904.09041v2,2019-04-18,Optimizing Quantum Programs against Decoherence: Delaying Qubits into   Quantum Superposition,FALSE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,IBM,4
1904.10440v2,2019-04-23,Minimally-Entangled State Preparation of Localized Wavefunctions on   Quantum Computers,FALSE,(F2) Applications: condensed matter physics,(F9) Applications: high energy physics,IBM,9
1904.11935v1,2019-04-26,Detector Tomography on IBM 5-qubit Quantum Computers and Mitigation of   Imperfect Measurement,FALSE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",(E) Quantum noise mitigation,IBM,14
1904.12187v1,2019-04-27,Investigation of quantum pigeonhole effect in IBM quantum computer,FALSE,(F13) Applications: others,,IBM,4
1905.01534v1,2019-05-04,Quantum Chemistry as a Benchmark for Near-Term Quantum Computers,FALSE,(F3) Applications: quantum chemistry,(E) Quantum noise mitigation,IBM,4
1905.02666v5,2019-05-07,Option Pricing using Quantum Computers,TRUE,(F4) Applications: finance,(E) Quantum noise mitigation,IBM,3
1905.05277v2,2019-05-13,Realization of the Werner-Holevo and Landau-Streater quantum channels   for qutrits on quantum computers,FALSE,(F11) Applications: open quantum systems,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",IBM,6
1905.05720v1,2019-05-14,Verifying Multipartite Entangled GHZ States via Multiple Quantum   Coherences,TRUE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",(E) Quantum noise mitigation,IBM,20
1905.05775v1,2019-05-14,Benchmarking quantum processors with a single qubit,FALSE,(F13) Applications: others,,IBM,7
1905.07138v2,2019-05-17,Solving systems of linear algebraic equations via unitary   transformations on quantum processor of IBM Quantum Experience,FALSE,"(F6) Applications: linear algebra (HHL, variational linear system solver)",(E) Quantum noise mitigation,IBM,4
1905.09692v3,2019-05-23,Structure optimization for parameterized quantum circuits,FALSE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",(F3) Applications: quantum chemistry,IBM,2
1905.10228v4,2019-05-24,Error correction schemes for fully correlated quantum channels   protecting both quantum and classical information,FALSE,(D) Quantum error correction,,IBM,5
1905.10941v2,2019-05-27,Non-Markovian Noise Characterization with the Transfer Tensor Method,FALSE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",,IBM,2
1905.10968v1,2019-05-27,Quantum Robots Can Fly; Play Games: An IBM Quantum Experience,FALSE,(F13) Applications: others,,IBM,5
1905.11349v2,2019-05-27,"Full-Stack, Real-System Quantum Computer Studies: Architectural   Comparisons and Design Insights",TRUE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,IBM,8
1905.13454v2,2019-05-31,Experimental test of non-macrorealistic cat-states in the cloud,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,12
1906.00476v3,2019-06-02,Noise reduction using past causal cones in variational quantum   algorithms,TRUE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",(F5) Applications: optimization (QAOA),IonQ,5
1906.01196v1,2019-06-04,Convolution filter embedded quantum gate autoencoder,FALSE,(F1) Applications: quantum machine learning,,IBM,9
1906.06343v2,2019-06-14,Simulating quantum many-body dynamics on a current digital quantum   computer,FALSE,(F2) Applications: condensed matter physics,(F8) Applications: simulating quantum mechanics,IBM,10
1906.07099v2,2019-06-17,IBM Q Experience as a versatile experimental testbed for simulating open   quantum systems,FALSE,(F11) Applications: open quantum systems,(E) Quantum noise mitigation,IBM,4
1906.10175v1,2019-06-21,Machine learning methods in quantum computing theory,FALSE,(F1) Applications: quantum machine learning,,IBM,4
1907.02359v2,2019-07-04,Benchmarking the Quantum Approximate Optimization Algorithm,FALSE,(F5) Applications: optimization (QAOA),,IBM,8
1907.02521v4,2019-07-04,Universal and Operational Benchmarking of Quantum Memories,FALSE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,IBM,5
1907.08518v2,2019-07-19,Mitigation of readout noise in near-term quantum devices by classical   post-processing based on detector tomography,FALSE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",,IBM,5
1907.09032v3,2019-07-21,Variational quantum algorithms for nonlinear problems,FALSE,(F10) Applications: fluid dynamics and other differential equations,,IBM,2
